,head,variable,value
153,Course1_W9-S2-L2_Recap_of_History-based_Models_7-11,concept_vocab_index,vi197
154,Course2_W7-S2-L5_TF-IDF_Weighting_3-42,concept_vocab_index,vi1060
155,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,concept_vocab_index,vi1926
156,Course2_W5-S1-L2_Feature_Overlap-Feature_Interaction_12-51,concept_vocab_index,vi1200
157,Course2_W2-S1-L4_Generalization_and_Zeros_5-15,concept_vocab_index,vi376
158,Course3_W4-S1-L4_-_Earley_Parser_-_20_slides_16-34,concept_vocab_index,vi50
159,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28,concept_vocab_index,vi1474
160,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,prerequisite,Course3_W7-S1-L6_-_Information_Extraction_-_10_slides_05-37
161,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,concept_vocab_index,vi1474
162,Course1_W10-S1-L1_Introduction_1-02,concept_vocab_index,vi318
163,Course1_W8-S1-L1_Introduction_1-41,concept_vocab_index,vi0
164,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi156
165,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,concept_vocab_index,vi318
166,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,concept_vocab_index,vi1046
167,Course2_W1-S3-L1_Defining_Minimum_Edit_Distance_7-04,concept_vocab_index,vi175
168,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02,concept_vocab_index,vi1880
169,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi653
170,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,concept_vocab_index,vi169
171,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,concept_vocab_index,vi173
172,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16,concept_vocab_index,vi1200
173,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,concept_vocab_index,vi352
174,Course1_W9-S1-L6_Clusters_in_NE_Recognition_Part_1_11-33,concept_vocab_index,vi1075
175,Course1_W9-S1-L3_The_Brown_Clustering_Algorithm_Part_1_11-50,l_text_topics,topic_3
176,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_3
177,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi598
178,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,concept_vocab_index,vi318
179,Course1_W1-S3-L5_Summary_2-31,concept_vocab_index,vi1063
180,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,prerequisite,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46
181,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi675
182,Course2_W7-S2-L4_Inverse_Document_Frequency_Weighting_10-16,concept_vocab_index,vi1740
183,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,l_text_topics,topic_4
184,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,concept_vocab_index,vi175
185,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1880
186,Course1_W9-S1-L2_Word_Cluster_Representations_8-36,concept_vocab_index,vi602
187,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,topic_6
188,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi1842
189,Course1_W5-S1-L6_Introduction_to_Statistical_MT_12-31,concept_vocab_index,vi197
190,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi4
191,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi312
192,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,concept_vocab_index,vi951
193,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22,concept_vocab_index,vi675
194,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,l_text_topics,topic_6
195,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi1707
196,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi131
197,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,l_text_topics,topic_8
198,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi1937
199,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,l_text_topics,topic_7
200,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1003
201,Course2_W6-S1-L4_CKY_Example_21-52,concept_vocab_index,vi672
202,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,concept_vocab_index,vi517
203,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi81
204,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,concept_vocab_index,vi1073
205,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi1664
206,Course2_W1-S3-L2_Computing_Minimum_Edit_Distance_5-54,concept_vocab_index,vi516
207,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50,concept_vocab_index,vi1840
208,Course2_W5-S1-L1_The_Maximum_Entropy_Model_Presentation_12-14,concept_vocab_index,vi1945
209,Course2_W6-S1-L5_Constituency_Parser_Evaluation_9-45,concept_vocab_index,vi1073
210,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,concept_vocab_index,vi2029
211,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi52
212,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1334
213,Course1_W6-S1-L2_Learning_Phrases_from_Alignments_Part_1_9-18,concept_vocab_index,vi1003
214,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,concept_vocab_index,vi1926
215,Course2_W8-S2-L1_What_is_Question_Answering_7-28,concept_vocab_index,vi1842
216,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,concept_vocab_index,vi892
217,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi142
218,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi1842
219,Course1_W10-S2-L7_Summary_2-50,concept_vocab_index,vi1807
220,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49,concept_vocab_index,vi1552
221,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi52
222,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,concept_vocab_index,vi1183
223,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18,l_text_topics,topic_8
224,Course2_W1-S2-L5_Sentence_Segmentation_5-31,concept_vocab_index,vi1842
225,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1563
226,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,l_text_topics,topic_10
227,Course2_W6-S1-L3_CKY_Parsing_23-25,concept_vocab_index,vi1132
228,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,concept_vocab_index,vi751
229,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi1003
230,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,concept_vocab_index,vi1420
231,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,concept_vocab_index,vi1503
232,Course2_W3-S1-L5_Naive_Bayes-_Relationship_to_Language_Modeling_4-35,concept_vocab_index,vi283
233,Course2_W4-S3-L2_Using_Patterns_to_Extract_Relations_6-17,concept_vocab_index,vi1282
234,Course2_W7-S2-L4_Inverse_Document_Frequency_Weighting_10-16,concept_vocab_index,vi1945
235,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,concept_vocab_index,vi941
236,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,concept_vocab_index,vi175
237,Course3_W12-S1-L7_-_Machine_Translation_Advanced_Methods_-_13_slides_09-36,concept_vocab_index,vi1866
238,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,concept_vocab_index,vi84
239,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1257
240,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1644
241,Course1_W5-S1-L3_Challenges_in_MT_8-06,concept_vocab_index,vi1925
242,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,concept_vocab_index,vi372
243,Course1_W5-S2-L3_IBM_Model_1_Part_2_9-01,concept_vocab_index,vi61
244,Course2_W6-S2-L3_PCFG_Independence_Assumptions_9-44,concept_vocab_index,vi1147
245,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi1670
246,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,concept_vocab_index,vi1407
247,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,concept_vocab_index,vi2039
248,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28,concept_vocab_index,vi1330
249,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,concept_vocab_index,vi887
250,Course3_W7-S1-L1_-_Noisy_Channel_Model_-_8_slides_08-33,l_text_topics,topic_3
251,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi1842
252,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,concept_vocab_index,vi129
253,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,concept_vocab_index,vi1520
254,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi339
255,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,concept_vocab_index,vi192
256,Course1_W10-S1-L2_Recap_of_GLMs_7-40,concept_vocab_index,vi1407
257,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1945
258,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,l_text_topics,topic_2
259,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,concept_vocab_index,vi1740
260,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28,concept_vocab_index,vi90
261,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi233
262,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,concept_vocab_index,vi497
263,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07,concept_vocab_index,vi435
264,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,concept_vocab_index,vi1754
265,Course1_W6-S2-L4_The_Decoding_Algorithm_Part_1_14-39,concept_vocab_index,vi1132
266,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi751
267,Course1_W2-S1-L2_Generative_Models_for_Supervised_Learning_8-57,concept_vocab_index,vi197
268,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi901
269,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,concept_vocab_index,vi1789
270,Course3_W7-S1-L1_-_Noisy_Channel_Model_-_8_slides_08-33,concept_vocab_index,vi173
271,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,level,level_1
272,Course2_W2-S1-L2_Estimating_N-gram_Probabilities_9-38,concept_vocab_index,vi1393
273,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,concept_vocab_index,vi549
